Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,SRS.SOS,NFL.Rushing.Avg
6.4,9,10,9,0,6.6,9,45.666666666666664,7.5,53.166666666666664,7.166666666666667,6.87,4.06
6.3,9,16,11.1,0,6.8,9,88,16.09090909090909,104.0909090909091,13.909090909090908,1.04,4.275
5.8,16,17,11.2,4,6.3,20,81,15.833333333333334,96.83333333333333,14,6.24,3.9333333333333336
5.7,14,10,8.6,0,5.8,14,119.36363636363636,7.818181818181818,127.18181818181819,20.90909090909091,4.98,3.5999999999999996
5.4,7,37,11,2,6.4,9,80.63636363636364,36.90909090909091,117.54545454545455,14.909090909090908,0.12,3.6666666666666665
5.2,5,3,5,0,5.2,5,46.72727272727273,1.3636363636363635,48.09090909090909,8.909090909090908,-1.66,3.95
5.1,12,8,15.1,0,5.4,12,110.54545454545455,11,121.54545454545455,21.818181818181817,0.91,3.8666666666666667
5.1,11,23,7.7,0,5.4,11,93.63636363636364,16.181818181818183,109.81818181818181,18.272727272727273,-1.55,3.533333333333333
5.1,8,18,5.4,0,5.2,8,90.72727272727273,8.818181818181818,99.54545454545455,17.636363636363637,-3.27,3.8
5,12,29,9.1,0,5.3,12,150.41666666666666,21.916666666666668,172.33333333333334,30.333333333333332,2.66,3.7
5,10,40,9,0,5.6,10,100.81818181818181,32.81818181818182,133.63636363636363,20.363636363636363,5.91,3.475
4.9,16,1,30,0,5.1,16,91,2.5,93.5,18.416666666666668,-0.34,4.3
4.9,8,18,5.9,0,5,8,85.36363636363636,9.636363636363637,95,17.272727272727273,5.89,4.014285714285714
4.9,2,20,9,0,5.5,2,69.5,22.375,91.875,14.25,3.42,3.9727272727272727
4.6,3,41,11.4,3,6.1,6,54.5,38.916666666666664,93.41666666666667,11.916666666666666,6.3,3.5
4.5,7,15,6.7,1,4.6,8,82.18181818181819,9.090909090909092,91.27272727272727,18.272727272727273,5.11,3.6999999999999997
4.4,2,4,6.8,0,4.5,2,43,2.4545454545454546,45.45454545454545,9.818181818181818,5.49,3.75
4.3,2,3,5.3,0,4.3,2,26.916666666666668,1.3333333333333333,28.25,6.333333333333333,2.15,3.8499999999999996
4.1,4,17,7.4,1,4.5,5,44.6,12.5,57.1,10.9,-1.5,3.4
4.1,4,29,11.9,3,5.9,7,32,28.75,60.75,7.833333333333333,4.59,3.75
3.9,0,38,7.9,3,5.1,3,29.09090909090909,27.454545454545453,56.54545454545455,7.545454545454546,0.23,4.35
8,13,1,24,1,8.1,14,122.0909090909091,2.1818181818181817,124.27272727272727,15.181818181818182,4.71,3.9
7.6,9,30,10.5,2,8.2,11,93.88888888888889,35,128.88888888888889,12.333333333333334,-0.47,3.6
7.3,13,13,11.2,3,7.6,16,113.08333333333333,12.083333333333334,125.16666666666667,15.416666666666666,3.73,4.06
6.8,19,22,14.7,2,7.5,21,140.63636363636363,29.454545454545453,170.0909090909091,20.727272727272727,0.42,4.275
6.5,6,28,8.6,2,6.8,8,141.25,30.125,171.375,21.875,0.93,3.6666666666666665
6.5,6,13,3.6,0,6.2,6,95,4.2727272727272725,99.27272727272727,14.727272727272727,7.73,5
6.5,9,9,10.1,1,6.7,10,77.46153846153847,7,84.46153846153847,11.846153846153847,-0.4,3.6
6.2,15,18,7.1,0,6.2,15,148.1818181818182,11.636363636363637,159.8181818181818,24.09090909090909,2.13,4.318181818181818
6,4,13,11.4,0,6.4,4,101.1,14.8,115.9,16.9,4.31,3.5999999999999996
6,2,5,5,0,6,2,84.36363636363636,2.272727272727273,86.63636363636364,14,1.65,4.68
5.6,10,9,9.3,0,5.8,10,81.9,8.4,90.3,14.7,3.9,4.816666666666666
5.4,10,15,15.9,2,6.3,12,75,21.727272727272727,96.72727272727273,14,4.71,3.9333333333333336
5.3,10,14,8,0,5.4,10,116.27272727272727,10.181818181818182,126.45454545454545,22,1.54,3.95
5.2,6,17,14.4,3,5.8,9,104.0909090909091,22.181818181818183,126.27272727272727,20.181818181818183,1.72,3.6999999999999997
5.2,13,8,6.8,0,5.3,13,69.6923076923077,4.153846153846154,73.84615384615384,13.384615384615385,0.78,3.8
5.2,0,5,15,1,5.7,1,62,9.375,71.375,12,1.89,3.4
5.1,13,14,6.6,0,5.2,13,108.63636363636364,8.454545454545455,117.0909090909091,21.454545454545453,0.66,3.533333333333333
5,15,16,5.6,2,5,17,111.58333333333333,7.5,119.08333333333333,22.25,0.78,3.8666666666666667
5,6,3,1.3,0,5,6,121.63636363636364,0.36363636363636365,122,24.09090909090909,-9.3,4.5
4.8,8,37,10.9,2,5.9,10,70.91666666666667,33.75,104.66666666666667,14.75,7.15,3.5
4.6,5,33,9.6,1,5.5,6,73,31.7,104.7,15.8,0.7,3.9727272727272727
4.5,7,7,17.3,1,5.5,8,35.09090909090909,11,46.09090909090909,7.7272727272727275,1.65,4.014285714285714
4.4,5,1,9,0,4.4,5,46.3,0.9,47.2,10.6,3.9,3.8499999999999996
4.3,6,7,10.1,0,4.7,6,38.27272727272727,6.454545454545454,44.72727272727273,8.818181818181818,3.28,3.75
3.6,9,55,7.3,1,4.3,10,75.25,33.333333333333336,108.58333333333333,20.833333333333332,6.02,3.475
3.4,11,0,0,0,3.4,11,45,0,45,13.333333333333334,-1.42,4.3
8.5,7,19,11.8,4,9.2,11,55.72727272727273,20.363636363636363,76.0909090909091,6.545454545454546,2.52,3.25
7.3,8,12,6.8,0,7.3,8,105.54545454545455,7.363636363636363,112.9090909090909,14.454545454545455,3.57,4.68
7.2,8,8,16.8,1,7.8,9,82.3,13.4,95.7,11.4,0.65,3.74
6.6,7,6,8.2,0,6.7,7,93.27272727272727,4.454545454545454,97.72727272727273,14.090909090909092,5.93,3.6
6.4,14,19,9.3,0,6.6,14,123.08333333333333,14.666666666666666,137.75,19.166666666666668,-1.68,3.6
6.2,9,12,7.4,0,6.4,9,48.81818181818182,8.090909090909092,56.90909090909091,7.818181818181818,3.57,4.014285714285714
6,12,16,6.6,0,6.1,12,179.63636363636363,9.636363636363637,189.27272727272728,29.727272727272727,-6.91,4.5
6,9,13,10.1,1,6.3,10,83,10.916666666666666,93.91666666666667,13.75,4.3,3.4
5.9,22,22,6.8,0,5.9,22,159.27272727272728,13.636363636363637,172.9090909090909,27.09090909090909,2.42,3.95
5.8,5,8,13.8,1,6.3,6,54.90909090909091,10,64.9090909090909,9.545454545454545,3.81,4.014285714285714
5.7,14,23,6,0,5.8,14,118.0909090909091,12.636363636363637,130.72727272727272,20.545454545454547,4.57,5
5.7,11,17,10.8,3,6.2,14,79.83333333333333,15.25,95.08333333333333,14,-2.3,4.025
5.7,5,7,5.9,0,5.7,5,84.36363636363636,3.727272727272727,88.0909090909091,14.909090909090908,1.26,4.3
5.7,6,6,13,1,6,7,101,11.142857142857142,112.14285714285714,17.714285714285715,2.52,3.8666666666666667
5.6,5,0,0,0,5.6,5,46.916666666666664,0,46.916666666666664,8.333333333333334,8.64,3.5
5.5,13,14,10.9,1,5.8,14,125.44444444444444,16.88888888888889,142.33333333333334,23,6.23,4.06
5.5,5,2,3,0,5.5,5,50.8,0.6,51.4,9.2,5.48,3.3
5.5,3,11,11.1,1,6.1,4,43.63636363636363,11.090909090909092,54.72727272727273,7.909090909090909,-0.35,4.057142857142857
5.2,11,36,7.5,0,5.5,11,107.41666666666667,22.583333333333332,130,20.583333333333332,5.07,3.475
5.2,13,11,6.5,0,5.3,13,90.54545454545455,6.545454545454546,97.0909090909091,17.363636363636363,2.52,3.8
5.2,8,13,9.1,0,5.5,8,93.77777777777777,13.11111111111111,106.88888888888889,17.88888888888889,6.07,3.55
5.1,21,47,13.7,3,6.3,24,127.5,53.666666666666664,181.16666666666666,25,-0.34,4.318181818181818
5.1,7,33,7.5,1,5.4,8,107.5,24.9,132.4,21,6.35,3.9727272727272727
4.9,12,6,9.2,0,5,12,112,4.583333333333333,116.58333333333333,22.75,5.93,3.8499999999999996
4.9,5,12,13.4,3,5.5,8,74.9090909090909,14.636363636363637,89.54545454545455,15.181818181818182,4.65,4.64
4.8,1,14,8.6,1,5.1,2,67.18181818181819,11,78.18181818181819,13.909090909090908,5.31,3.5666666666666664
