Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Tico Duckett,Michigan State,Big Ten,12,5.4,10,9,6.9,1,5.5,11,116.16666666666667,5.166666666666667,121.33333333333333,21.416666666666668,26,4.84,0.708
1990,Tony Stewart,Iowa,Big Ten,12,5.4,3,13,11.8,1,5.9,4,70.33333333333333,12.75,83.08333333333333,13.083333333333334,35.6,5.39,0.667
1990,Neil Trotter,Toledo,MAC,9,5.4,3,4,8.3,0,5.5,3,90,3.6666666666666665,93.66666666666667,16.555555555555557,25.8,-13.24,0.818
1990,Robert Wilson,Texas A&M,SWC,12,5.4,5,9,8.3,1,5.6,6,60.333333333333336,6.25,66.58333333333333,11.166666666666666,35.8,0.49,0.731
1990,Scott McNair,Temple,Ind,11,5.4,5,10,17.2,1,6.3,6,56.63636363636363,15.636363636363637,72.27272727272727,10.545454545454545,23.7,0.88,0.636
1990,Lorenzo Neal,Fresno State,Big West,11,5.4,9,15,14.3,0,6.5,9,52.72727272727273,19.454545454545453,72.18181818181819,9.818181818181818,31.5,-11.46,0.773
1990,Ricky Watters,Notre Dame,Ind,11,5.4,8,7,8.3,0,5.5,8,52.63636363636363,5.2727272727272725,57.90909090909091,9.818181818181818,29.9,9.23,0.75
1990,Jon Jones,West Virginia,Ind,11,5.4,5,5,5.8,1,5.4,6,45.72727272727273,2.6363636363636362,48.36363636363637,8.545454545454545,19.7,-0.42,0.364
1990,Larry Harris,Arkansas State,Ind,10,5.4,3,1,5,0,5.4,3,49,0.5,49.5,9,18.2,-6.84,0.318
1990,Ronald Williams,Clemson,ACC,11,5.3,8,1,1,0,5.3,8,85.54545454545455,0.09090909090909091,85.63636363636364,16.181818181818183,27.8,2.61,0.833
1990,Brian Copeland,Colorado State,WAC,13,5.3,5,21,9.3,2,5.7,7,72.3076923076923,15,87.3076923076923,13.615384615384615,29.1,-2.43,0.692
1990,Kenyon Rasheed,Oklahoma,Big 8,11,5.3,10,2,5,0,5.3,10,60.09090909090909,0.9090909090909091,61,11.272727272727273,36.5,4.29,0.727
1990,Floyd Foreman,Utah State,Big West,11,5.3,3,0,0,0,5.3,3,38.36363636363637,0,38.36363636363637,7.2727272727272725,26.1,-5.8,0.5
1990,Beno Bryant,Washington,Pac-10,11,5.3,5,7,10,0,5.7,5,35.09090909090909,6.363636363636363,41.45454545454545,6.636363636363637,36.7,6.87,0.833
1990,Roger Grant,Utah State,Big West,11,5.2,8,5,5,0,5.1,8,124.54545454545455,2.272727272727273,126.81818181818181,24.181818181818183,26.1,-5.8,0.5
1990,Amp Lee,Florida State,Ind,11,5.2,16,34,10.6,2,6.2,18,75,32.72727272727273,107.72727272727273,14.363636363636363,38.3,2.27,0.833
1990,Brian Brown,UCLA,Pac-10,11,5.2,8,13,8,0,5.4,8,72.54545454545455,9.454545454545455,82,14,27.7,7.71,0.455
1990,Ricky Powers,Michigan,Big Ten,12,5.2,4,3,9,0,5.3,4,62.333333333333336,2.25,64.58333333333333,12,32.4,6.11,0.75
1990,Troy Mabone,Arkansas State,Ind,10,5.2,2,0,0,0,5.2,2,38.7,0,38.7,7.5,18.2,-6.84,0.318
1990,Corey Ray,Northern Illinois,Ind,11,5.2,3,5,12,1,5.6,4,33.81818181818182,5.454545454545454,39.27272727272727,6.545454545454546,30.3,-5.75,0.545
1990,Hyland Hickson,Michigan State,Big Ten,12,5.1,14,14,10.8,1,5.4,15,99.66666666666667,12.583333333333334,112.25,19.5,26,4.84,0.708
1990,Natrone Means,North Carolina,ACC,11,5.1,10,24,9.5,1,5.6,11,77.18181818181819,20.818181818181817,98,15.272727272727273,20.6,2.52,0.591
1990,Marvin Eastman,UNLV,Big West,11,5.1,7,5,1.8,0,5,7,65.27272727272727,0.8181818181818182,66.0909090909091,12.818181818181818,21.7,-9.32,0.364
1990,Kelvin Fisher,Arizona State,Pac-10,11,5.1,6,20,11.5,2,5.9,8,61.54545454545455,20.90909090909091,82.45454545454545,12.181818181818182,24.7,5.4,0.364
1990,Roland Johnson,Southern Mississippi,Ind,11,5.1,2,3,1.3,0,5,2,34.90909090909091,0.36363636363636365,35.27272727272727,6.818181818181818,18.3,0.13,0.667
1990,Mazio Royster,USC,Pac-10,13,5,8,25,8,0,5.3,8,89.84615384615384,15.307692307692308,105.15384615384616,18.076923076923077,26.8,7.35,0.654
1990,Michael Richardson,Louisiana Tech,Ind,10,5,13,14,9.9,0,5.3,13,111.4,13.8,125.2,22.2,30.4,-7.05,0.708
1990,Willie McClendon,Florida,SEC,11,5,7,27,9.9,1,5.8,8,57.36363636363637,24.181818181818183,81.54545454545455,11.545454545454545,35.2,0.4,0.818
1990,Jarrod Bunch,Michigan,Big Ten,12,5,3,12,5.2,3,5,6,42.916666666666664,5.166666666666667,48.083333333333336,8.583333333333334,32.4,6.11,0.75
1990,Harold Dennis,Tulane,Ind,11,5,2,3,10.7,0,5.3,2,32.54545454545455,2.909090909090909,35.45454545454545,6.454545454545454,21.5,-1.21,0.364
1990,Tyrone Nelson,Akron,Ind,11,5,2,15,10.5,0,5.9,2,32.45454545454545,14.272727272727273,46.72727272727273,6.545454545454546,21.2,-9.15,0.318
1990,Mike Mayweather,Army,Ind,11,4.9,10,0,0,0,4.9,10,121.63636363636364,0,121.63636363636364,24.90909090909091,26.8,-7.63,0.545
1990,Vaughn Dunbar,Indiana,Big Ten,12,4.9,13,16,7.6,0,5.1,13,102,10.166666666666666,112.16666666666667,20.833333333333332,27.4,1.63,0.542
1990,Jimmie Mitchell,New Mexico State,Big West,11,4.9,6,9,7.9,0,5,6,75.63636363636364,6.454545454545454,82.0909090909091,15.545454545454545,18.2,-8.8,0.091
1990,David Walker,Syracuse,Ind,11,4.9,6,11,10.7,1,5.3,7,66.36363636363636,10.727272727272727,77.0909090909091,13.636363636363637,26.2,2.02,0.615
1990,Michael Beasley,West Virginia,Ind,11,4.9,3,8,9.8,0,5.2,3,55.18181818181818,7.090909090909091,62.27272727272727,11.363636363636363,19.7,-0.42,0.364
1990,Tom Luke,Ole Miss,SEC,10,4.9,4,0,0,0,4.9,4,51.9,0,51.9,10.6,21.7,-1.18,0.75
1990,Michael Jones,Missouri,Big 8,11,4.9,7,41,9.9,3,6.3,10,44.09090909090909,36.81818181818182,80.9090909090909,9.090909090909092,25.3,4.55,0.364
