Year.x,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct,NFL.Rushing.Avg,NFL.Rushing.Avg.Max
1990,Randy Cuthbert,Duke,ACC,11,4.4,4,46,8.1,1,5.3,5,54.09090909090909,34,88.0909090909091,12.363636363636363,21.8,3.5,0.364,7,7
1990,Raymont Harris,Ohio State,Big Ten,12,4.4,8,7,6,1,4.5,9,43.25,3.5,46.75,9.916666666666666,29.1,3.3,0.625,3.3499999999999996,3.9
1990,James Joseph,Auburn,SEC,12,4.4,3,22,10.6,0,5.6,3,34.416666666666664,19.5,53.916666666666664,7.833333333333333,23.6,1.97,0.708,2.9,3.3
1990,Ricky Ervins,USC,Pac-10,13,4.4,4,9,5,1,4.4,5,30.23076923076923,3.4615384615384617,33.69230769230769,6.923076923076923,26.8,7.35,0.654,3.86,4.7
1990,Rudy Harris,Clemson,ACC,11,4.4,3,6,10,2,4.8,5,33.90909090909091,5.454545454545454,39.36363636363637,7.636363636363637,27.8,2.61,0.833,2.05,4.1
1990,Gary Brown,Penn State,Ind,11,4.4,2,10,9.3,0,4.9,2,32.63636363636363,8.454545454545455,41.09090909090909,7.454545454545454,24.8,5.87,0.75,4.8374999999999995,10.6
1990,Sheldon Canley,San Jose State,Big West,12,4.2,12,31,12.5,2,5,14,104,32.166666666666664,136.16666666666666,24.666666666666668,36.3,-4.41,0.792,2.3,2.3
1990,Bernie Parmalee,Ball State,MAC,11,4.2,5,30,6.2,1,4.4,6,91.81818181818181,16.818181818181817,108.63636363636364,21.818181818181817,18.5,-13.85,0.636,3.9,6.3
1990,Tony Smith,Southern Mississippi,Ind,11,4.2,4,11,7.8,0,4.4,4,59.72727272727273,7.818181818181818,67.54545454545455,14.363636363636363,18.3,0.13,0.667,3.8,3.8
1990,Gary Downs,North Carolina State,ACC,9,4.2,6,1,7,0,4.3,6,44.111111111111114,0.7777777777777778,44.888888888888886,10.444444444444445,24.8,3.34,0.583,3.533333333333333,4
1990,Bob Christian,Northwestern,Big Ten,11,4,6,39,8.4,3,4.6,9,85.36363636363636,29.818181818181817,115.18181818181819,21.545454545454547,19.1,3.65,0.182,3.25,4.1
1990,Mike Dingle,South Carolina,Ind,11,4,8,26,9,2,4.6,10,67.81818181818181,21.181818181818183,89,17,25.6,3.12,0.545,4.3,4.3
1990,Kevin Smith,UCLA,Pac-10,11,4,5,10,5.2,0,4.1,5,33.36363636363637,4.7272727272727275,38.09090909090909,8.272727272727273,27.7,7.71,0.455,3.98,4.9
1990,Anthony Lynn,Texas Tech,SWC,11,3.9,8,17,8.8,1,4.3,9,80.36363636363636,13.636363636363637,94,20.363636363636363,29.3,4.69,0.364,4.433333333333334,6.8
1990,Leroy Thompson,Penn State,Ind,11,3.8,8,20,12.3,0,4.8,8,52.09090909090909,22.272727272727273,74.36363636363636,13.818181818181818,24.8,5.87,0.75,3.1166666666666667,4.5
1990,Marcus Wilson,Vanderbilt,SEC,11,3.8,6,0,0,0,3.8,6,40.54545454545455,0,40.54545454545455,10.545454545454545,20.6,0.35,0.091,2,3.5
1990,Corey Croom,Ball State,MAC,11,3.8,3,8,5.4,0,3.9,3,36.18181818181818,3.909090909090909,40.09090909090909,9.636363636363637,18.5,-13.85,0.636,3.75,4.2
1990,Tommy Vardell,Stanford,Pac-10,11,3.7,14,24,4,0,3.7,14,40.09090909090909,8.818181818181818,48.90909090909091,10.909090909090908,23.9,8,0.455,1.65,2.3
1990,James Jones,Oregon State,Pac-10,11,3.5,6,9,9.6,0,4,6,33.09090909090909,7.818181818181818,40.90909090909091,9.454545454545455,13.8,1.9,0.091,3.4,3.4
